,year,title,ratings,madeit,reviews,photos,submitter_description,ingredients,readyin,servings,nutrition,calories,fat,carbohydrate,protein,carbohydrates,instructions
10,,Funfetti® Rice,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3327032.jpg,,"['3 cups cooked rice', '2 teaspoons garlic powder', '2 teaspoons onion powder', '1 pinch salt and ground black pepper to taste', '2 tablespoons grapeseed oil', '½ red bell pepper, chopped', '½ carrot, chopped', '½ stalk celery, chopped', '¼ cup water', '½ cup French-fried onions']",0,6 servings,"          274.3 calories;           2.5 g protein;           32.8 g carbohydrates;           0 mg cholesterol;           194.7 mg sodium.        Full Nutrition
",,,,,,"Place rice in a large bowl. Season with garlic powder, onion powder, salt, and black pepper.

Heat oil in a large skillet over medium heat. Add red bell pepper, carrot, and celery; cook and stir until tender, about 5 minutes. Add seasoned rice and water; cook until rice is heated through, about 5 minutes. Add French-fried onions; toss to combine.
"
11,,Val's Spicy Baked Shrimp,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F998092.jpg,,"['3 slices bacon', '¾ cup butter', '2 tablespoons Dijon mustard (such as Grey Poupon Country Mustard™)', '1 ½ teaspoons chili powder', '¼ teaspoon crushed red pepper flakes', '¼ teaspoon dried basil', '¼ teaspoon dried thyme', '2 tablespoons chopped onion', '2 cloves garlic, minced', '½ cup dry white wine', '1 tablespoon seafood seasoning (such as Old Bay®)', '2 pounds uncooked medium shrimp, peeled and deveined']",0,6 servings,"          372.6 calories;           26.8 g protein;           2.8 g carbohydrates;           296.4 mg cholesterol;           916.8 mg sodium.        Full Nutrition
",,,,,,"Preheat the oven to 375 degrees F (190 degrees C).

Cook the bacon in a large, deep skillet over medium-high heat until evenly browned, about 10 minutes.

Transfer bacon to a paper-lined plate to drain, reserving bacon grease in the skillet. Dice the bacon once cooled enough to handle.

Melt butter in the remaining bacon grease over medium heat. Cook and stir diced bacon, Dijon mustard, chili powder, red pepper flakes, basil, thyme, onion, and garlic until onion is tender, about 5 minutes.

Stir wine and seafood seasoning into onion mixture; add shrimp and toss to coat.

Pour shrimp and onion mixture into a 9x13-inch baking dish.

Bake in the preheated oven until the shrimp are bright pink on the outside and the meat is no longer transparent in the center, about 20 minutes.
"
12,,Wonderful Banana Cake,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F773884.jpg,,"['1 (18.25 ounce) package yellow cake mix', '2 very ripe bananas, mashed', '1 teaspoon baking soda']",0,1 -9x13 inch cake,"          101.8 calories;           1.1 g protein;           19.1 g carbohydrates;           0.4 mg cholesterol;           194.1 mg sodium.        Full Nutrition
",,,,,,"Prepare yellow cake mix according to package directions.

Mash the bananas with the baking soda and stir into the cake mix batter. Pour batter into one greased and floured 9x13 inch baking pan.

Do not preheat oven. Place uncooked cake in oven and turn oven on to 350 degrees F (175 degrees C). Bake for 1 hour. Let cake cool thoroughly and then refrigerate.
"
13,,One Pan Orecchiette Pasta,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4541124.jpg,,"['2 tablespoons olive oil', '½ onion, diced', 'salt to taste', '8 ounces spicy Italian sausages, casings removed', '3 ½ cups low-sodium chicken broth, divided, or as needed', '1 ¼ cups orecchiette pasta, or more to taste', '½ cup roughly chopped arugula, or to taste', '¼ cup finely grated Parmigiano-Reggiano cheese, or to taste']",40,None,"          662 calories;           39.1 g total fat;           60 mg cholesterol;           1360 mg sodium.          46.2 g carbohydrates;           31.2 g protein;         Full Nutrition
",,,,,,"Heat olive oil in a large, deep skillet over medium heat. Cook and stir onion with a pinch of salt in hot oil until onion is soft and golden, 5 to 7 minutes. Stir sausage into onions; cook and stir until sausage is broken up and browned, 5 to 7 minutes.
Pour 1 1/2 cups chicken broth into sausage mixture and bring to a boil while scraping the browned bits of food off of the bottom of the pan with a wooden spoon. Add orecchiette pasta; cook and stir pasta in hot broth, adding remaining broth when liquid is absorbed, until pasta is cooked through and most of the broth is absorbed, about 15 minutes.
Stir arugula into pasta-sausage mixture until arugula wilts. Ladle pasta into bowls and dust with Parmigiano-Reggiano cheese."
14,,Double Tacos,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F993988.jpg,,"['1 ¼ pounds ground beef', '½ onion, chopped', '1 (1.25 ounce) package dry taco seasoning mix', '¾ cup water', '1 (14 ounce) can refried beans', '4 ounces process cheese food (such as Velveeta®), cut into small cubes', '10 (6 inch) flour tortillas, warmed', '10 eaches crisp taco shells, warmed']",0,10 double tacos,"          347 calories;           17.5 g protein;           31.9 g carbohydrates;           49.2 mg cholesterol;           801.4 mg sodium.        Full Nutrition
",,,,,,"Cook ground beef and onion in a skillet over medium heat until beef is completely browned, 7 to 10 minutes. Drain excess grease from the skillet.

While beef cooks, stir taco seasoning mix into water in a small saucepan; bring to a boil, reduce heat to low, and simmer for 10 minutes.

Stir taco seasoning mixture into ground beef and onion mixture; simmer on medium-low heat while preparing the remaining ingredients.

Stir refried beans and cubed process cheese food together in a separate small saucepan over medium-low heat; cook and stir until cheese food has melted completely into the beans, about 10 minutes.

Divide refried bean mixture between flour tortillas; spread into an even layer to cover one side completely.

Wrap tortillas around the crisp taco shells, using bean mixture to stick the tortillas to the shells.

Spoon seasoned ground beef into the taco shells.
"
15,,Corned Beef and Cabbage Leaf Wraps with Carrot Salsa,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4531132.jpg,,"['1 large carrot, grated', '½ red onion, diced', '1 (4 ounce) can hot or mild diced green chiles', '1 clove minced garlic', '2 roma (plum) tomatoes, diced', '¼ teaspoon sea salt', '1 (15 ounce) can HORMEL® Mary Kitchen® Corned Beef Hash', '6 large eggs', 'Freshly ground black pepper to taste', '1 head green cabbage, leaves separated']",25,None,"          249 calories;           11.9 g total fat;           203 mg cholesterol;           672 mg sodium.          23.3 g carbohydrates;           14.5 g protein;         Full Nutrition
",,,,,,"Mix grated carrot, red onion, green chiles, garlic, diced tomatoes, and sea salt together in a mixing bowl. Cover and chill 1 hour before serving.
Combine hash and eggs in a skillet and cook over medium high heat, stirring frequently, until eggs are set and no longer runny, 6 to 8 minutes. Season with pepper to taste.
Spoon filling into cabbage leaves and top with salsa."
16,,Alyson's Broccoli Salad,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F503913.jpg,,"['10 slices bacon', '1 head fresh broccoli, cut into bite size pieces', '¼ cup red onion, chopped', '½ cup raisins', '3 tablespoons white wine vinegar', '2 tablespoons white sugar', '1 cup mayonnaise', '1 cup sunflower seeds']",0,6 servings,"          558.5 calories;           12.9 g protein;           23.9 g carbohydrates;           30.8 mg cholesterol;           583.5 mg sodium.        Full Nutrition
",,,,,,"Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, crumble and set aside.

In a medium bowl, combine the broccoli, onion and raisins. In a small bowl, whisk together the vinegar, sugar and mayonnaise. Pour over broccoli mixture, and toss until well mixed. Refrigerate for at least two hours.

Before serving, toss salad with crumbled bacon and sunflower seeds.
"
17,,Pumpkin Pecan No-Bake Cheesecake Pie,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F933518.jpg,,"['2 (8 ounce) packages reduced-fat cream cheese, softened', '¾ cup white sugar', ""1 (15 ounce) can pure pumpkin (such as Libby's®)"", '1 teaspoon ground cinnamon', '½ teaspoon ground nutmeg', '½ teaspoon ground ginger', '¼ teaspoon ground cloves', '½ teaspoon vanilla extract', '½ cup chopped pecans, divided', '1 (9 inch) prepared graham cracker crust', '½ cup whipped topping, or to taste']",0,8 servings,"          432.4 calories;           8.5 g protein;           48.7 g carbohydrates;           31.8 mg cholesterol;           469.9 mg sodium.        Full Nutrition
",,,,,,"Beat cream cheese and sugar together in a large bowl until creamy and smooth. Mix pumpkin, cinnamon, nutmeg, ginger, cloves, and vanilla extract into cream cheese mixture, scraping down the sides of the bowl, until mixture is smooth.

Fold 1/3 cup pecans into the pumpkin mixture; spread into the graham cracker crust. Sprinkle remaining pecans over pumpkin mixture. Cover pie with plastic wrap.

Refrigerate until set, 4 hours.

Cut pie into 8 slices and top each slice with about 1 tablespoon whipped topping.
"
18,,Instant Pot® Curried Chicken Thighs,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6532013.jpg,,"['4 (6 ounce) chicken thighs', '2 teaspoons mild yellow curry powder (such as Savory Spice®)', '1 teaspoon honey powder (such as Savory Spice®)', '¾ teaspoon salt', '½ teaspoon ground black pepper', '2 tablespoons olive oil', '1 tablespoon butter', '1 small onion, cut in half and thinly sliced', '4 cloves garlic, minced', '1 tablespoon minced fresh ginger root', '1 (14.5 ounce) can diced tomatoes', '1 tablespoon tomato powder', '½ cup coconut milk', '1 teaspoon ground cumin', '1 tablespoon mild yellow curry powder (such as Savory Spice®)']",0,4 servings,"          471.6 calories;           31 g protein;           11.2 g carbohydrates;           113.4 mg cholesterol;           721.3 mg sodium.        Full Nutrition
",,,,,,"Season chicken thighs with 2 teaspoons curry powder, honey powder, salt, and black pepper.

Turn on a multi-functional pressure cooker (such as Instant Pot&reg;) and select Saute function. Heat oil and butter. Add chicken and cook until browned, 2 to 3 minutes per side. Transfer to a plate. Add onion; cook and stir until soft and translucent, about 5 minutes. Add garlic and ginger; cook until fragrant, about 2 minutes. Return chicken to Instant Pot&reg;. Add tomatoes and tomato powder. Close and lock the lid.

Select high pressure according to manufacturer's instructions; set timer for 20 minutes. Allow 10 to 15 minutes for pressure to build.

Release pressure using the natural-release method according to manufacturer's instructions, for 10 minutes. Switch to the quick-release method according to manufacturer's instructions and release remaining pressure for about 5 minutes. Unlock and remove the lid.

Turn on Saute function. Add coconut milk, cumin, and remaining curry powder to the pot. Cook until sauce has thickened, about 5 minutes.
"
19,,Sadie's Buttermilk Biscuits,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1087656.jpg,,"['4 cups all-purpose flour', '1 teaspoon salt', '1 teaspoon baking soda', '1 teaspoon cream of tartar', '4 teaspoons baking powder', '1 cup lard', '2 cups buttermilk']",0,18 biscuits,"          215.7 calories;           3.8 g protein;           22.9 g carbohydrates;           11.9 mg cholesterol;           336.7 mg sodium.        Full Nutrition
",,,,,,"Preheat oven to 450 degrees F (230 degrees C).

Whisk together flour, salt, baking soda, cream of tartar, and baking powder. Cut lard into flour mixture using a pastry blender until crumbly; stir in buttermilk. Turn mixture onto a floured surface and knead just a few times to form a moist dough.

Roll dough out 1-inch thick; cut biscuits with a cookie cutter or round glass. Place biscuits on an ungreased baking sheet.

Bake in the preheated oven until tops are golden, about 12 minutes.
"
20,,Pat's Baked Potato Salad,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1122048.jpg,,"['4 ½ cups potatoes - peeled and cubed', '4 slices bacon', '1 cup cubed Cheddar cheese', '½ cup sweet pickle relish', '¼ cup chopped onion', '¼ cup sliced pimiento-stuffed green olives', '⅓ cup mayonnaise', '⅛ teaspoon celery salt', '1 pinch ground black pepper to taste']",0,8 servings,"          253.4 calories;           7.8 g protein;           21.9 g carbohydrates;           25.8 mg cholesterol;           556 mg sodium.        Full Nutrition
",,,,,,"Place the potatoes into a large pot and cover with salted water. Bring to a boil over high heat, then reduce heat to medium-low, cover, and simmer until tender, about 20 minutes. Drain thoroughly.

Meanwhile, place the bacon in a large, deep skillet, and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain the bacon slices on a paper towel-lined plate, then crumble. Set the bacon aside.

Preheat an oven to 350 degrees F (175 degrees C). Grease an 8-inch square baking dish.

Combine the potatoes, Cheddar cheese, relish, onion, and olives in a large bowl. Stir in the mayonnaise, celery salt, and black pepper. Transfer the mixture into the prepared baking dish, and sprinkle with bacon.

Bake in the preheated oven until the potatoes are browned and the cheese is melted, about 45 minutes.
"
21,,Sour Cream Cornbread,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5064891.jpg,,"['2 cups cornmeal', '2 cups all-purpose flour', '1 ⅓ cups white sugar', '1 teaspoon salt', '1 teaspoon baking soda', '2 cups sour cream', '1 cup butter, melted', '4 eggs']",0,1 9x13-inch pan,"          357.7 calories;           5.5 g protein;           41.6 g carbohydrates;           89.7 mg cholesterol;           344.1 mg sodium.        Full Nutrition
",,,,,,"Preheat oven to 375 degrees F (190 degrees C). Grease a 9x13-inch baking dish.

Mix cornmeal, flour, sugar, salt, and baking soda together in a large bowl. Add sour cream, butter, and eggs; stir until fully incorporated. Pour batter into the prepared baking dish.

Bake in the preheated oven until a tooth pick inserted in the center of the cornbread comes out clean, 30 to 35 minutes.
"
22,,Margherita Pizza with Sausage and Pesto,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6977991.jpg,,"['1 CAULIPOWER® Cauliflower Pizza Crust', '3 tomatoes, halved and sliced', '⅓ cup prepared pizza sauce', '1 ½ cups shredded mozzarella cheese', '4 ounces fresh mozzarella cheese, sliced', '1 link fully cooked roasted red pepper and Asiago chicken sausage, sliced into thin rounds', '⅓ cup pesto sauce', '¼ cup fresh basil leaves, torn (optional)']",30,1 pizza,"          480 calories;           28.9 g total fat;           84 mg cholesterol;           790 mg sodium.          28.6 g carbohydrates;           25.7 g protein;         Full Nutrition
",,,,,,"Preheat the oven to 425 degrees F (220 degrees C).
Arrange tomato slices on a few sheets of paper towels to absorb excess moisture.
Place pizza crust onto a baking sheet or baking steel. Spread pizza sauce evenly over the crust. Top evenly with shredded mozzarella cheese. Next, add the tomato slices and fresh mozzarella cheese. Top with chicken sausage. Dot evenly with pesto sauce.
Bake in the preheated oven until cheese is melted and crust is golden brown, 12 to 15 minutes.
Remove from oven and immediately top with torn basil."
23,,Fluffy and Delicious Pancakes,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1090164.jpg,,"['¾ cup milk', '2 tablespoons white vinegar', '1 cup all-purpose flour', '2 tablespoons white sugar', '1 teaspoon baking powder', '½ teaspoon baking soda', '½ teaspoon salt', '1 egg', '2 tablespoons butter, melted', '1 ½ teaspoons ground cinnamon, or as desired', '1 teaspoon vanilla extract', '1 serving cooking spray']",0,4 servings,"          235.6 calories;           6.4 g protein;           33.5 g carbohydrates;           65.4 mg cholesterol;           648.8 mg sodium.        Full Nutrition
",,,,,,"Stir milk and vinegar together in a bowl; set aside to 'sour' for about 5 minutes.

Whisk flour, sugar, baking powder, baking soda, and salt together in a bowl. Whisk egg and butter into sour milk. Pour flour mixture into milk mixture and whisk until batter is smooth. Add cinnamon and vanilla extract to batter; mix well.

Heat a large skillet over medium heat and coat with cooking spray. Drop batter, 1/4 cup per pancake, onto the griddle and cook until bubbles form and the edges are dry, 3 to 4 minutes. Flip and cook until browned on the other side, 2 to 3 minutes. Repeat with remaining batter.
"
